iter	Passed	Remaining
0	1	144
1	2	125
2	3	127
3	4	116
4	6	114
5	7	111
6	8	112
7	9	109
8	10	105
9	11	101
10	12	98
11	13	95
12	13	92
13	14	90
14	15	88
15	16	86
16	17	84
17	18	82
18	18	80
19	19	79
20	20	77
21	21	75
22	22	74
23	23	73
24	23	71
25	24	70
26	25	69
27	26	67
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	86	1
98	88	0
99	88	0
